id,reviews_per_month,last_review,number_of_reviews
66741,2.08,2019/06/23,214
66974,0.79,2019/07/01,69
67288,0.26,2019/06/15,22
67299,0.56,2019/05/06,56
67397,0.93,2019/06/22,93
68099,1.05,2019/06/25,104
68305,0.68,2018/07/06,64
68403,1.25,2019/06/24,127
68735,0.32,2019/06/13,30
68765,1.34,2019/06/27,106
68900,0.1,2016/11/13,6
68974,1.88,2019/06/20,191
69894,0.55,2019/06/11,48
69921,0.49,2019/06/29,47
70095,1.27,2019/06/30,120
70128,0.63,2019/01/10,52
70609,0.48,2019/06/16,48
71010,0.43,2019/05/24,32
71248,0.42,2019/06/17,43
71366,0.44,2019/06/25,39
71384,0.5,2014/05/13,50
71812,0.35,2019/01/02,4
72190,0.39,2019/02/15,38
72265,0.36,2019/06/16,29
74073,0.6,2019/06/23,59
74240,0.67,2019/06/07,68
74333,0.27,2015/11/25,26
74404,0.31,2012/08/22,31
74680,2.01,2019/05/31,198
74860,0.01,2011/03/28,1
75193,2.17,2019/06/22,220
75635,2.81,2019/06/27,286
76761,3.97,2019/06/28,398
77765,0.36,2019/07/01,36
77936,0.36,2019/06/14,36
78919,0.1,2016/02/05,6
79067,0.3,2019/04/20,14
79782,0.76,2019/03/31,76
80493,1.81,2019/07/04,182
80684,0.09,2016/03/27,8
80700,0.07,2019/05/24,7
80924,0.51,2018/09/25,34
81739,0.02,2011/05/12,2
82549,0.68,2016/09/16,66
82550,0.85,2019/06/30,80
82638,2.4,2019/06/06,240
82928,1.07,2019/07/02,46
83243,2.27,2019/06/10,228
83446,0.05,2018/09/03,5
83722,0.11,2018/08/26,8
83847,0.33,2019/01/02,33
84010,0.14,2019/06/27,13
84059,0.05,2018/07/22,5
84659,3.88,2019/06/26,388
84905,2.22,2019/06/23,223
85094,0.11,2019/01/14,11
86215,1.51,2019/06/24,151
89427,,,0
89621,2.26,2019/06/28,218
93313,0.76,2019/06/23,75
94035,1.21,2019/07/06,42
94209,,,0
94477,3.74,2019/07/05,370
94783,1.04,2019/06/21,104
95747,0.13,2016/07/18,13
95883,0.07,2018/12/26,4
96471,0.11,2019/06/07,11
98330,0.01,2012/01/03,1
98663,0.19,2018/06/11,19
99070,1.31,2019/05/26,131
99085,0.15,2019/05/01,15
100002,1.37,2019/06/17,136
100184,0.45,2019/07/08,43
100186,0.99,2019/06/28,98
101053,0.31,2019/03/01,31
102995,0.46,2018/01/01,45
103161,1.76,2019/06/26,124
103311,0.09,2018/05/19,9
103806,1.68,2019/05/27,166
105469,0.13,2015/09/21,13
105510,0.16,2019/01/05,15
106363,3.83,2019/06/26,380
106647,0.87,2019/06/16,86
107630,2.53,2019/06/20,248
107895,0.56,2019/06/19,49
110739,0.57,2019/07/03,54
112100,0.03,2013/01/01,3
112304,0.02,2016/01/02,1
112359,0.57,2018/12/28,56
112435,1.66,2019/05/24,163
113265,2.51,2019/06/21,247
113945,1.17,2019/05/11,116
114123,0.28,2019/05/19,27
114229,0.6,2019/06/08,52
114969,0.4,2018/09/24,39
115535,0.35,2019/06/01,35
115678,3.23,2019/06/23,320
115748,0.32,2019/06/16,30
116940,2.27,2019/06/24,225
117425,0.96,2018/05/26,95
118061,0.75,2019/06/28,70
118430,0.36,2019/01/03,35
118680,,,0
120362,0.51,2019/07/02,50
121687,0.31,2019/06/23,29
121861,0.23,2016/05/02,23
123784,1.44,2019/06/16,142
125053,0.73,2019/07/01,70
125163,0.54,2019/06/03,38
125594,0.94,2019/05/19,82
126443,4.1,2019/07/07,403
126816,0.03,2014/11/06,3
127387,0.03,2014/08/04,3
128975,1.18,2019/06/13,116
131154,1.79,2019/07/07,175
132516,1.21,2019/07/01,28
132570,0.25,2017/12/26,24
132695,0.15,2016/06/06,15
133025,1.07,2019/06/06,105
134934,0.38,2019/05/30,22
135393,2.69,2019/06/24,263
135465,0.91,2019/06/20,86
135706,0.1,2017/01/01,10
136493,0.21,2019/05/27,18
138216,0.21,2018/07/08,8
139624,0.73,2019/01/31,70
140133,1.55,2019/07/05,150
140425,1.18,2017/05/25,115
140973,0.71,2019/05/26,69
141154,2.41,2019/06/22,232
141335,0.41,2018/01/13,35
141890,0.21,2013/10/01,18
141984,0.69,2019/06/10,68
142069,0.23,2014/11/10,22
144087,0.17,2019/05/18,17
144148,0.58,2016/01/05,34
145064,0.08,2014/06/06,8
145188,,,0
145994,0.08,2018/07/06,2
146754,0.72,2019/04/27,52
147586,0.76,2019/06/16,74
148201,0.19,2013/05/31,18
148259,0.86,2019/05/11,72
148825,2.18,2019/06/29,191
149287,,,0
149777,2.49,2019/06/23,197
150804,0.2,2019/07/06,19
151199,4.34,2019/07/03,414
151478,0.09,2018/12/11,8
152071,,,0
152078,0.3,2019/02/12,25
152259,1.22,2019/05/28,119
152263,2.14,2019/07/06,203
152520,0.55,2018/11/16,53
153405,1.09,2019/06/16,104
153780,1.8,2019/06/28,175
154934,0.42,2018/05/08,38
155296,0.5,2019/05/02,39
157673,0.91,2019/06/16,88
158061,0.28,2017/10/08,27
158176,1.28,2019/06/29,117
158290,0.44,2019/05/20,43
158913,0.05,2015/03/13,4
158955,4,2019/06/29,385
159749,0.68,2019/07/01,64
159815,0.41,2019/06/24,39
159913,1.79,2019/07/03,37
160609,0.12,2019/01/01,10
160994,1.08,2019/06/24,103
161366,0.43,2019/06/01,41
161394,0.03,2014/08/31,3
161996,2.33,2019/06/26,227
162493,0.79,2018/12/27,37
162508,0.35,2019/06/28,29
163627,2.31,2017/12/31,205
163809,0.44,2019/06/03,42
163814,2.92,2019/07/05,280
163836,0.89,2019/06/08,86
164989,0.56,2019/06/16,54
165080,0.07,2018/08/29,7
165461,0.59,2019/01/01,57
165824,0.32,2019/05/01,31
166006,1.94,2018/08/23,188
166172,6.7,2019/07/07,480
166541,0.35,2019/06/15,34
166983,0.06,2015/08/08,6
167013,0.04,2018/05/13,3
167017,0.03,2014/08/31,2
167222,0.21,2018/08/24,20
167482,1.33,2019/06/07,129
168084,1.6,2019/06/30,147
168123,1.06,2019/07/01,101
168546,0.12,2016/01/02,11
168810,0.12,2013/10/15,11
169002,0.43,2019/06/16,41
169152,1.09,2017/04/18,87
169306,1.21,2019/05/21,117
169464,0.89,2019/05/16,86
169483,,,0
170420,0.16,2016/02/15,15
170761,0.55,2019/07/02,35
171776,0.18,2015/10/01,17
172700,0.04,2016/02/15,3
172870,0.47,2018/01/03,43
173072,4.6,2019/07/06,168
173151,2.49,2019/06/24,241
173742,1.13,2019/06/23,105
174527,0.46,2018/10/28,11
174966,0.33,2018/05/05,30
176135,0.32,2018/10/23,31
176653,0.51,2019/05/07,49
176962,0.24,2019/04/13,23
177421,0.21,2019/06/24,20
177495,0.9,2019/06/24,18
177606,0.95,2019/06/23,90
179670,1.04,2019/06/27,99
179741,0.06,2019/06/28,6
180507,0.22,2018/12/01,21
180792,0.26,2019/04/04,24
181972,1.17,2019/06/02,111
182069,0.91,2019/06/20,86
182095,0.69,2019/04/29,66
182177,2.84,2019/06/20,271
182649,2.4,2019/06/18,227
185266,1.55,2019/07/06,80
187488,0.07,2018/12/03,5
187566,1.97,2019/06/10,187
187986,0.02,2015/08/28,2
188146,0.02,2016/01/01,1
188661,0.7,2018/10/20,67
188674,0.68,2018/01/12,63
189135,1,2019/07/01,89
189181,0.02,2014/04/20,1
189732,1.86,2019/06/29,177
189787,0.94,2019/06/30,90
190267,0.41,2019/07/07,39
190542,0.44,2019/05/18,42
190968,0.35,2019/05/08,33
190974,2.02,2019/05/29,179
191075,0.85,2019/03/28,81
193105,0.45,2019/06/29,43
193333,0.54,2018/10/31,52
193393,1.68,2019/06/25,160
193853,0.27,2018/05/21,23
194154,0.37,2017/06/18,35
195123,2.35,2019/06/12,225
195233,6.62,2019/07/04,401
195240,0.84,2019/06/17,72
195578,0.97,2018/12/30,46
195971,1.19,2019/06/23,83
195989,2.21,2019/06/15,211
196010,0.16,2015/06/14,15
197155,1.29,2019/06/23,122
197753,3.9,2019/06/12,295
197942,2.18,2019/07/07,207
199195,0.65,2019/03/30,50
199312,2.85,2019/06/24,273
200645,,,0
200955,0.26,2018/04/30,25
201992,1.62,2019/05/11,105
202273,0.76,2016/12/26,72
203901,0.08,2016/09/18,8
204065,0.61,2019/06/04,58
204833,0.09,2015/09/17,8
204959,1.84,2019/07/02,172
205043,7.14,2019/06/20,330
205485,1.29,2019/06/11,123
205735,0.59,2019/04/30,55
205867,0.99,2019/07/03,87
206071,2.7,2019/06/25,258
206316,0.18,2018/08/27,4
206772,0.33,2019/05/26,31
206957,1.34,2016/11/15,128
208148,0.15,2015/08/31,14
208889,0.32,2019/06/24,30
209310,2.9,2019/05/28,258
211078,2.39,2018/04/25,228
211974,0.65,2019/07/01,60
212109,0.2,2019/06/30,9
212178,1.88,2019/06/19,179
212544,0.1,2016/06/23,9
213272,0.37,2019/04/21,1
213330,0.49,2018/08/29,25
214917,0.05,2018/02/08,2
215560,1.6,2019/06/25,152
215784,0.25,2019/03/31,24
215907,0.47,2019/04/22,45
217580,0.08,2018/11/14,7
218358,0.35,2019/06/03,19
219066,0.26,2019/01/19,24
219482,0.09,2017/10/14,8
219793,0.31,2015/06/03,29
219818,0.15,2015/07/20,14
219922,0.38,2019/05/25,33
220351,1.04,2019/02/28,99
220563,0.62,2017/01/05,59
220946,1.5,2019/06/16,142
221043,,,0
221097,0.23,2019/03/15,22
221618,0.87,2019/05/21,82
222054,0.24,2018/09/15,23
222304,0.34,2019/05/08,32
223930,0.25,2019/06/23,24
224004,0.63,2018/10/26,59
224006,0.08,2015/01/02,6
224510,0.21,2018/07/05,18
225297,0.03,2018/12/26,3
225306,1.21,2019/07/05,115
225887,1.63,2019/06/19,154
225926,1.73,2019/07/01,164
225976,0.8,2019/06/13,76
226021,1.23,2019/06/30,116
227715,2.47,2019/06/30,234
227735,1.27,2019/06/24,120
228317,0.87,2019/05/18,82
228496,0.15,2019/05/26,13
228517,0.64,2019/06/24,59
228925,1.87,2019/06/26,63
228979,0.55,2018/08/14,52
229367,2.95,2019/07/03,278
229874,0.01,2012/01/02,1
230321,0.4,2019/06/09,35
230854,2.49,2019/06/29,235
230877,1.21,2019/06/30,115
230956,1.15,2015/10/02,109
231414,0.01,2013/07/09,1
232612,3.24,2019/06/27,305
232618,1.52,2019/06/18,102
233189,0.88,2019/05/31,83
233638,0.25,2018/07/31,19
233662,0.65,2019/05/18,61
234184,0.94,2019/06/30,89
234870,0.74,2017/07/31,65
235552,0.44,2019/06/16,40
235651,0.86,2019/04/26,80
235951,1.45,2019/06/19,136
235960,1.06,2018/05/28,100
236671,1.36,2019/07/06,125
236788,0.5,2019/04/14,40
236806,,,0
237127,1.59,2019/04/28,139
237210,,,0
239055,0.03,2014/10/06,2
239733,0.53,2019/06/26,49
239766,0.11,2018/05/18,8
239826,,,0
239883,1.32,2019/05/25,124
239899,0.12,2018/12/19,5
240800,1.57,2019/06/30,147
241140,0.46,2019/04/14,43
241159,0.33,2019/01/03,8
241862,0.39,2019/01/02,37
242532,1.28,2019/06/19,120
242643,0.29,2019/01/01,24
243229,0.05,2017/07/09,5
243708,2.59,2019/04/01,242
245504,2.45,2019/06/21,229
245544,1.36,2019/06/19,108
245574,1.92,2019/06/05,181
245607,0.39,2019/07/01,34
246134,0.05,2016/10/02,5
246351,0.06,2015/08/17,5
246916,0.64,2019/06/25,60
246938,2.59,2019/06/23,238
248865,0.37,2019/04/22,34
248871,1.4,2019/06/24,131
249414,0.16,2017/06/28,6
249618,0.06,2015/07/03,4
249867,0.08,2018/10/07,7
250259,3.04,2019/07/07,125
250311,,,0
250323,0.58,2014/12/03,49
250536,0.12,2017/09/25,11
250537,,,0
250801,1.15,2019/05/23,107
251262,2.6,2019/06/29,241
251277,1.89,2019/06/29,176
252076,1.63,2019/06/16,151
252607,0.53,2018/08/09,49
253332,0.14,2018/09/01,13
253466,0.47,2019/06/24,33
253471,0.32,2018/11/06,24
253475,0.66,2019/06/24,59
253548,0.04,2015/06/25,2
253590,0.23,2019/06/28,16
253623,0.77,2018/11/26,72
253800,0.26,2019/04/25,24
253803,0.26,2019/06/22,23
253806,0.47,2019/07/02,43
253811,0.32,2019/07/03,30
253815,0.44,2019/06/29,39
253828,0.09,2018/07/26,8
253839,0.03,2015/11/03,3
253842,0.1,2018/04/19,6
253846,0.05,2015/12/04,4
254131,0.66,2019/07/06,56
254168,0.08,2018/11/16,7
254409,0.03,2014/01/13,2
255024,2.69,2019/06/24,178
255476,0.8,2019/05/31,30
255601,2.04,2019/06/23,190
255957,0.27,2019/06/30,25
256078,0.98,2019/05/31,81
256328,0.08,2019/06/22,7
256369,2.31,2019/07/01,216
257097,0.33,2019/01/28,31
257568,0.57,2017/08/12,53
257787,2.65,2019/06/21,247
258284,2.5,2019/04/10,233
258397,1.45,2019/06/24,135
258686,0.23,2015/12/30,20
258688,0.5,2019/06/02,46
258690,0.12,2014/10/26,10
258740,2.83,2018/06/30,143
258838,0.26,2019/05/22,21
258876,,,0
259946,0.09,2019/05/19,8
260451,0.05,2017/08/28,4
260765,3.45,2019/07/01,314
261194,0.25,2019/06/18,18
261259,0.12,2015/05/27,11
261344,0.55,2019/06/02,51
261674,0.33,2017/04/01,20
261781,0.12,2017/12/30,8
262343,0.63,2019/06/06,59
262405,0.62,2019/06/24,54
262478,0.46,2018/12/31,10
262583,1.66,2019/06/25,153
263005,1.2,2019/06/02,110
263190,0.91,2019/01/01,69
263232,0.18,2019/01/27,1
263502,0.26,2015/08/19,24
263776,1.02,2019/01/02,95
263888,1.41,2019/04/28,129
264323,1.84,2019/03/31,171
265036,0.59,2019/06/09,20
265064,0.27,2017/05/03,17
265145,0.09,2015/01/08,8
265506,0.12,2015/11/01,11
265831,0.09,2018/07/05,5
265912,,,0
266146,0.39,2019/03/19,36
266155,0.17,2019/03/31,16
266351,0.12,2018/07/12,5
266437,,,0
266449,0.77,2019/06/03,68
266756,0.99,2018/06/30,89
267376,1.02,2019/06/24,10
267435,0.85,2019/07/01,38
267535,0.17,2019/06/09,15
267652,0.42,2019/01/21,20
267708,0.96,2019/06/15,25
268392,0.42,2019/05/27,35
268481,0.01,2013/09/24,1
268868,0.7,2019/06/02,64
269283,0.33,2019/02/16,26
269889,2.74,2019/06/25,244
270139,0.29,2019/01/15,21
270231,2.95,2019/07/07,270
270315,0.19,2019/03/27,16
270345,0.26,2019/06/27,24
270680,0.33,2019/06/28,30
270681,0.06,2015/09/07,5
271083,1.25,2019/06/12,115
271128,0.19,2019/06/25,9
271130,0.52,2019/05/26,45
271694,0.21,2015/09/08,19
271950,0.08,2018/12/31,5
271954,2.22,2019/06/20,203
272026,0.41,2018/01/02,20
272044,0.53,2018/10/27,49
272427,0.07,2019/04/21,6
272706,0.08,2017/06/18,7
272738,0.38,2019/06/30,35
273190,0.31,2018/09/25,28
273256,,,0
274062,0.88,2019/06/24,54
274329,1.75,2019/06/25,115
274376,0.13,2019/06/24,6
274743,0.02,2014/08/31,1
275976,2.31,2019/06/30,204
276216,0.03,2016/09/01,1
276317,0.97,2019/06/23,89
276482,1.42,2019/06/02,130
277207,0.25,2019/06/08,15
277370,0.6,2019/05/13,52
277883,0.63,2017/12/29,58
278090,2.32,2019/06/11,208
278145,0.03,2017/06/20,3
278631,0.08,2013/04/21,7
278876,0.04,2017/03/18,1
279093,0.06,2018/04/10,2
279857,1.37,2019/07/02,122
279969,0.72,2019/06/18,63
280315,0.28,2014/10/31,26
281521,0.01,2012/10/02,1
281756,0.16,2019/06/19,14
281851,2.38,2019/06/25,107
282341,0.05,2017/07/30,3
282443,1.17,2019/05/18,107
282514,1.57,2019/06/25,29
282863,0.76,2019/06/21,69
282977,2.52,2019/07/06,232
283072,,,0
283090,0.26,2018/08/10,24
283184,,,0
283272,0.06,2016/08/03,5
283550,0.23,2019/04/21,10
284208,0.47,2018/11/12,36
284855,1.1,2019/06/19,94
285442,0.01,2013/05/06,1
285492,0.71,2018/08/03,63
285716,0.06,2013/09/11,5
286662,2.6,2019/07/02,238
286838,1.1,2015/10/31,101
287397,0.23,2019/06/24,21
287408,0.82,2018/07/31,72
287417,0.68,2019/06/23,40
287421,1.13,2017/08/01,103
287481,0.72,2019/05/01,66
287839,0.4,2019/06/27,35
287845,1.33,2019/07/01,121
289020,0.19,2018/08/29,15
289037,0.18,2016/09/05,13
289288,1.42,2019/05/11,129
289665,1.71,2016/08/11,157
289703,0.11,2016/11/26,8
289958,0.06,2014/09/09,5
289995,0.52,2019/06/23,46
290457,0.41,2019/02/16,37
291524,0.16,2019/06/25,14
291714,0.45,2018/04/15,37
291812,0.03,2016/08/30,1
292047,2.38,2019/07/04,209
292121,0.07,2018/09/12,4
292266,0.19,2019/04/01,17
292637,,,0
293004,,,0
293837,0.66,2019/06/11,54
294227,0.49,2019/06/22,43
294239,0.08,2017/04/18,7
294242,0.93,2019/06/05,75
294250,0.99,2019/06/07,88
294259,0.84,2019/06/30,73
294263,1.06,2019/07/01,89
294280,0.26,2019/04/23,23
294297,0.16,2019/06/23,11
294353,1.12,2019/02/16,84
294490,0.61,2019/06/10,54
294717,0.19,2015/05/20,17
295231,0.02,2014/03/24,1
295379,0.89,2019/06/19,73
295998,0.47,2019/05/01,36
296345,1.07,2019/05/31,98
296361,0.89,2019/05/18,63
296658,0.09,2017/09/21,2
296717,0.2,2018/10/10,18
296844,0.28,2013/12/04,24
297611,0.07,2018/05/13,1
297962,0.05,2018/01/02,2
298073,0.25,2016/11/08,23
298759,1.12,2019/07/07,93
298854,,,0
299062,,,0
299078,1.69,2019/06/23,152
299531,1.39,2019/06/30,119
299699,0.1,2018/04/02,9
301034,0.49,2019/06/26,44
302057,1.77,2019/01/02,158
302758,0.14,2016/03/26,12
303345,0.57,2019/05/04,51
303462,,,0
304799,0.13,2019/06/09,11
305211,2.74,2019/06/18,236
306702,0.18,2018/09/01,16
306799,1.42,2019/02/28,123
309342,0.22,2015/08/19,14
310220,0.73,2018/12/30,65
310272,0.56,2019/06/03,50
310325,0.39,2019/06/10,33
310338,0.35,2019/01/01,30
310524,0.15,2019/01/31,13
310796,0.2,2019/06/07,18
311003,0.01,2013/04/21,1
311343,2.44,2019/05/14,216
311356,1.09,2019/05/01,98
312429,0.86,2019/06/02,61
313890,0.34,2019/04/23,13
314982,1.52,2019/07/01,136
316238,0.47,2019/06/09,39
317838,0.73,2019/07/01,65
317905,0.71,2019/01/02,62
318021,0.57,2019/06/30,47
318187,0.48,2019/06/20,42
319724,2.29,2019/06/16,207
319798,0.81,2019/07/03,72
319844,0.25,2019/05/02,22
320865,0.28,2019/03/31,25
320876,2.42,2019/06/30,215
320877,0.73,2017/06/24,26
321014,0.21,2018/01/02,18
321136,0.21,2018/12/31,18
322037,3.6,2019/07/07,320
322604,1.8,2019/07/02,160
322974,1.22,2019/02/08,78
